dt,rank,point
356868.791757,5100.0,328106.0
356868.781272,5101.0,328055.0
356868.771298,5102.0,328030.0
356868.761327,5103.0,328027.0
356868.75235,5104.0,328025.0
356868.7433739999,5105.0,327973.0
356868.733998,5106.0,327970.0
356868.725021,5107.0,327940.0
356868.716046,5108.0,327910.0
356868.707069,5109.0,327852.0
356434.128537,1.0,17635150.0
356434.119119,2.0,12871090.0
356434.11114,3.0,10466140.0
356434.103162,4.0,9808394.0
356434.094186,5.0,9184481.0
356434.08521,6.0,9135922.0
356434.07723,7.0,8973063.0
356434.068255,8.0,8739689.0
356434.060276,9.0,8591940.0
356434.051299,10.0,8287836.0
355498.936942,4919.0,334745.0
355498.928963,4920.0,334739.0
355498.919986,4921.0,334693.0
355498.91101,4922.0,334690.0
355498.903033,4923.0,334542.0
355498.894057,4924.0,334535.0
355447.092717,4915.0,334870.0
355447.082742,4916.0,334863.0
355447.073767,4917.0,334826.0
355447.064791,4918.0,334879.0
340297.081686,5105.0,334745.0
338846.887462,5121.0,334745.0
335984.161093,4999.0,340630.0
335984.148127,5000.0,340565.0
335984.137157,5001.0,340505.0
335984.126186,5002.0,340420.0
335984.115215,5003.0,340415.0
335984.104245,5004.0,340411.0
335984.092277,5005.0,340385.0
335984.081305,5006.0,340365.0
335984.070336,5007.0,340320.0
335984.05836100003,5008.0,340316.0
335379.715269,1.0,18172661.0
335379.705857,2.0,13391905.0
335379.696881,3.0,11058880.0
335379.687905,4.0,10182854.0
335379.676934,5.0,10072046.0
335379.667958,6.0,9260343.0
335379.658982,7.0,9159262.0
335379.64900900004,8.0,9037049.0
335379.639036,9.0,8978200.0
335379.63006,10.0,8833371.0
329584.26291,4878.0,347262.0
329584.245955,4879.0,347208.0
329584.235982,4880.0,347160.0
329584.226007,4881.0,347108.0
329584.215029,4882.0,347105.0
329584.20406799996,4883.0,347101.0
329584.1921,4884.0,347090.0
329584.181091,4885.0,347085.0
329584.16916,4886.0,347053.0
329584.158189,4887.0,347045.0
328127.390319,4729.0,353380.0
328127.379211,4730.0,353356.0
328127.368239,4731.0,353338.0
328127.358267,4732.0,353330.0
328127.347654,4733.0,353330.0
328127.337681,4734.0,353315.0
328127.326709,4735.0,353305.0
328127.315739,4736.0,353295.0
328127.304766,4737.0,353220.0
328127.294795,4738.0,353187.0
327490.74562600005,4565.0,359502.0
327490.735549,4566.0,359440.0
327490.718593,4567.0,359427.0
327490.707623,4568.0,359427.0
327490.69565500005,4569.0,359330.0
327490.685681,4570.0,359303.0
327490.674704,4571.0,359290.0
327490.663734,4572.0,359280.0
327490.652764,4573.0,359275.0
327490.641793,4574.0,359265.0
326971.298645,4495.0,362613.0
326971.289077,4496.0,362595.0
326971.279103,4497.0,362565.0
326971.266138,4498.0,362538.0
326971.255167,4499.0,362525.0
326971.244196,4500.0,362521.0
326971.234199,4501.0,362469.0
326971.223223,4502.0,362453.0
326971.211284,4503.0,362420.0
326971.200313,4504.0,362400.0
326757.853685,1.0,18181079.0
326757.843711,2.0,13726405.0
326757.833232,3.0,11535340.0
326757.82223600004,4.0,10244006.0
326757.81129,5.0,10212409.0
326757.799322,6.0,9389658.0
326757.787354,7.0,9376690.0
326757.775385,8.0,9214402.0
326757.763419,9.0,9179286.0
326757.751449,10.0,9037049.0
296298.76176900003,4841.0,362612.0
296298.748803,4842.0,362595.0
296298.737833,4843.0,362564.0
296298.725864,4844.0,362538.0
296298.71489400003,4845.0,362525.0
296298.703925,4846.0,362523.0
296298.692953,4847.0,362469.0
296298.681982,4848.0,362443.0
296298.670015,4849.0,362405.0
296298.659034,4850.0,362386.0
203844.465353,5698.0,362734.0
203844.445398,5699.0,362705.0
203844.432442,5700.0,362635.0
203844.420474,5701.0,362595.0
203844.409502,5702.0,362525.0
203844.398532,5703.0,362523.0
203844.387619,5704.0,362440.0
203844.37665,5705.0,362405.0
203844.365677,5706.0,362405.0
203843.79721199998,5707.0,362380.0
203449.90696,5539.0,369320.0
203449.893994,5540.0,369311.0
203449.884021,5541.0,369225.0
203449.874047,5542.0,369036.0
