dt,rank,point
357433.601767,33674.0,15120.0
357433.59279,33675.0,15120.0
357433.584808,33676.0,15115.0
357104.644486,27123.0,30300.0
357104.636508,27124.0,30300.0
357104.6285300001,27125.0,30295.0
356775.905917,23323.0,45690.0
356775.896947,23324.0,45690.0
356775.887948,23325.0,45685.0
356222.693371,20720.0,61080.0
356222.684394,20721.0,61080.0
356222.676415,20722.0,61075.0
355858.412058,18702.0,76690.0
355858.40007,18703.0,76680.0
355858.391685,18704.0,76666.0
200113.87752,20989.0,76700.0
200113.867571,20990.0,76680.0
200113.859592,20991.0,76680.0
199802.675313,19248.0,92550.0
199802.667436,19249.0,92535.0
199802.658474,19250.0,92505.0
199376.440045,17855.0,107833.0
199376.43107,17856.0,107820.0
199376.423072,17857.0,107805.0
198760.239137,16815.0,122161.0
198760.229175,16816.0,122160.0
198760.221197,16817.0,122140.0
198451.69709,15772.0,137520.0
198451.688114,15773.0,137490.0
198451.68013599998,15774.0,137440.0
198201.310194,14740.0,152460.0
198201.302216,14741.0,152460.0
198201.293239,14742.0,152445.0
26693.679525,16916.0,152480.0
26693.660576,16917.0,152460.0
26693.641469,16918.0,152460.0
26457.25894900001,14639.0,167445.0
26457.243988,14640.0,167430.0
26457.230026,14641.0,167425.0
26129.023291999998,13539.0,182763.0
26129.008331,13540.0,182760.0
26128.992372999997,13541.0,182750.0
25719.161422,12736.0,198055.0
25719.147459,12737.0,198045.0
25719.135491,12738.0,198025.0
25481.290968,12050.0,213130.0
25481.277006,12051.0,213120.0
25481.263043,12052.0,213065.0
25194.215342,11408.0,228150.0
25194.199386,11409.0,228135.0
25194.184426,11410.0,228113.0
3980.399143,11672.0,228150.0
3980.38917,11673.0,228135.0
3980.379196,11674.0,228113.0
3713.999055,11131.0,243715.0
3713.989082,11132.0,243675.0
3713.980106,11133.0,243657.0
3479.898296000001,10712.0,258690.0
3479.887326,10713.0,258690.0
3479.8773520000004,10714.0,258638.0
3208.053792,10237.0,274087.0
3208.043817,10238.0,274080.0
3208.034841,10239.0,274052.0
2502.614212,9805.0,288945.0
2502.604239,9806.0,288945.0
2502.5952629999997,9807.0,288930.0
2211.61097,9271.0,304545.0
2211.599999,9272.0,304485.0
2211.591023,9273.0,304482.0
