dt,rank,point
698197.6579260001,9897.0,3360.0
698197.645958,9898.0,3360.0
698197.635984,9899.0,3360.0
698197.626012,9900.0,3360.0
698197.617036,9901.0,3360.0
698197.609058,9902.0,3359.0
698197.600067,9903.0,3356.0
698197.591105,9904.0,3355.0
698197.582128,9905.0,3355.0
698197.5721560001,9906.0,3353.0
697845.430927,7380.0,6720.0
697845.420954,7381.0,6720.0
697845.412976,7382.0,6720.0
697845.4040000001,7383.0,6720.0
697845.396022,7384.0,6720.0
697845.387045,7385.0,6717.0
697845.379067,7386.0,6715.0
697845.37009,7387.0,6712.0
697845.362112,7388.0,6705.0
697845.353132,7389.0,6705.0
697402.48734,5825.0,9885.0
697402.478364,5826.0,9885.0
697402.470386,5827.0,9885.0
697402.462406,5828.0,9885.0
697402.454428,5829.0,9885.0
697402.445452,5830.0,9871.0
697402.437472,5831.0,9870.0
697402.4284979999,5832.0,9870.0
697402.420496,5833.0,9870.0
697402.4125399999,5834.0,9870.0
696364.214845,4606.0,12981.0
696364.203874,4607.0,12980.0
696364.194897,4608.0,12975.0
696364.186919,4609.0,12975.0
696364.178941,4610.0,12975.0
696364.170962,4611.0,12973.0
696364.161985,4612.0,12960.0
696364.151988,4613.0,12957.0
696364.143699,4614.0,12950.0
696364.135721,4615.0,12949.0
695571.503757,3889.0,16175.0
695571.494782,3890.0,16175.0
695571.4848069999,3891.0,16174.0
695571.475831,3892.0,16170.0
695571.4678529999,3893.0,16170.0
695571.458877,3894.0,16160.0
695571.449901,3895.0,16146.0
695571.4389279999,3896.0,16145.0
695571.428957,3897.0,16142.0
695571.417986,3898.0,16138.0
695452.533261,1.0,702280.0
695452.523287,2.0,564077.0
695452.515308,3.0,560510.0
695452.506333,4.0,560280.0
695452.497927,5.0,544375.0
695452.489947,6.0,542760.0
695452.480972,7.0,523766.0
695452.4729930001,8.0,519945.0
695452.464017,9.0,498434.0
695452.455041,10.0,484353.0
536049.212922,18304.0,16180.0
536049.201965,18305.0,16178.0
536049.19299,18306.0,16177.0
